book_id,original_title,authors,average_rating,genre
1,The Hunger Games,Suzanne Collins,4.34,fiction
2,Harry Potter and the Philosopher's Stone,"J.K. Rowling, Mary GrandPrÃ©",4.44,comic 
3,Twilight,Stephenie Meyer,3.57,crime
4,To Kill a Mockingbird,Harper Lee,4.25,horror
5,The Great Gatsby,F. Scott Fitzgerald,3.89,mystery
6,The Fault in Our Stars,John Green,4.26,fairy tale fantasy
7,The Hobbit or There and Back Again,J.R.R. Tolkien,4.25,fiction
8,The Catcher in the Rye,J.D. Salinger,3.79,science fiction
9,Angels & Demons ,Dan Brown,3.85,autobiographical
10,Pride and Prejudice,Jane Austen,4.24,dictionary
11,The Kite Runner ,Khaled Hosseini,4.26,comic
12,Divergent,Veronica Roth,4.24,autobiographical
13,Nineteen Eighty-Four,"George Orwell, Erich Fromm, CelÃ¢l Ãœster",4.14,horror
14,Animal Farm: A Fairy Story,George Orwell,3.87,comic 
15,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,mystery
16,MÃ¤n som hatar kvinnor,"Stieg Larsson, Reg Keeland",4.11,fiction
17,Catching Fire,Suzanne Collins,4.3,comic 
18,Harry Potter and the Prisoner of Azkaban,"J.K. Rowling, Mary GrandPrÃ©, Rufus Beck",4.53,genre
19, The Fellowship of the Ring,J.R.R. Tolkien,4.34,fiction
20,Mockingjay,Suzanne Collins,4.03,comic 
21,Harry Potter and the Order of the Phoenix,"J.K. Rowling, Mary GrandPrÃ©",4.46,crime
22,The Lovely Bones,Alice Sebold,3.77,horror
23,Harry Potter and the Chamber of Secrets,"J.K. Rowling, Mary GrandPrÃ©",4.37,mystery
24,Harry Potter and the Goblet of Fire,"J.K. Rowling, Mary GrandPrÃ©",4.53,fairy tale fantasy
25,Harry Potter and the Deathly Hallows,"J.K. Rowling, Mary GrandPrÃ©",4.61,fiction
26,The Da Vinci Code,Dan Brown,3.79,science fiction
27,Harry Potter and the Half-Blood Prince,"J.K. Rowling, Mary GrandPrÃ©",4.54,autobiographical
28,Lord of the Flies ,William Golding,3.64,dictionary
29,An Excellent conceited Tragedie of Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,fiction
30,Gone Girl,Gillian Flynn,4.03,comic 
31,The Help,Kathryn Stockett,4.45,crime
32,Of Mice and Men ,John Steinbeck,3.84,horror
33,Memoirs of a Geisha,Arthur Golden,4.08,mystery
34,Fifty Shades of Grey,E.L. James,3.67,fairy tale fantasy
35,O Alquimista,"Paulo Coelho, Alan R. Clarke",3.82,fiction
36,The Giver,Lois Lowry,4.12,science fiction
37,"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.19,autobiographical
38,The Time Traveler's Wife,Audrey Niffenegger,3.95,dictionary
39,A Game of Thrones,George R.R. Martin,4.45,comic
40,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia",Elizabeth Gilbert,3.51,autobiographical
41,The Lightning Thief,Rick Riordan,4.23,horror
42,Little Women,Louisa May Alcott,4.04,comic 
43,Jane Eyre,"Charlotte BrontÃ«, Michael Mason",4.1,mystery
44,The Notebook,Nicholas Sparks,4.06,fiction
45,Life of Pi,Yann Martel,3.88,comic 
46,Water for Elephants,Sara Gruen,4.07,genre
47,The Book Thief,Markus Zusak,4.36,fiction
48,Fahrenheit 451,Ray Bradbury,3.97,comic 
49,"New Moon (Twilight, #2)",Stephenie Meyer,3.52,crime
50,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Shel Silverstein,4.29,horror
51,City of Bones,Cassandra Clare,4.12,mystery
52,Eclipse,Stephenie Meyer,3.69,fairy tale fantasy
53,Eragon,Christopher Paolini,3.86,fiction
54,The Hitchhiker's Guide to the Galaxy,Douglas Adams,4.2,science fiction
55,Brave New World,Aldous Huxley,3.97,autobiographical
56,Breaking Dawn,Stephenie Meyer,3.7,dictionary
57,The Secret Life of Bees,Sue Monk Kidd,4.01,fiction
58,The Adventures of Huckleberry Finn,"Mark Twain, John Seelye, Guy Cardwell",3.8,comic 
59,Charlotte's Web,"E.B. White, Garth Williams, Rosemary Wells",4.15,crime
60,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.85,horror
61,The Girl on the Train,Paula Hawkins,3.88,mystery
62,Northern Lights,Philip Pullman,3.94,fairy tale fantasy
63,Wuthering Heights,"Emily BrontÃ«, Richard J. Dunn",3.82,fiction
64,My Sister's Keeper,Jodi Picoult,4.06,science fiction
65,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Kurt Vonnegut Jr.,4.06,autobiographical
66,Gone with the Wind,Margaret Mitchell,4.28,dictionary
67,A Thousand Splendid Suns,Khaled Hosseini,4.34,comic
68,The Perks of Being a Wallflower,Stephen Chbosky,4.21,autobiographical
69,Insurgent,Veronica Roth,4.07,horror
70,Ender's Game,Orson Scott Card,4.3,comic 
71,"Frankenstein; or, The Modern Prometheus","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",3.75,mystery
72,The Shining,Stephen King,4.17,fiction
73,The Host,Stephenie Meyer,3.84,comic 
74,Looking for Alaska,John Green,4.09,genre
75,hju,Helen Fielding,3.75,fiction
76,Sense and Sensibility,"Jane Austen, Tony Tanner, Ros Ballaster",4.06,comic 
77,Holes,"Louis Sachar, Louis Sachar",3.93,crime
78,The Devil Wears Prada,Lauren Weisberger,3.7,horror
79,ads,"Homer, Robert Fagles, E.V. Rieu, FrÃ©dÃ©ric Mugler, Bernard Knox",3.73,mystery
80,Le Petit Prince,"Antoine de Saint-ExupÃ©ry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",4.28,fairy tale fantasy
81,The Glass Castle,Jeannette Walls,4.24,fiction
82,Into the Wild,Jon Krakauer,3.94,science fiction
83,A Tale of Two Cities,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",3.81,autobiographical
84,Jurassic Park,Michael Crichton,3.96,dictionary
85,The Giving Tree,Shel Silverstein,4.38,fiction
86,A Time to Kill,John Grisham,4.03,comic 
87,Un di Velt Hot Geshvign,"Elie Wiesel, Marion Wiesel",4.3,crime
88,Paper Towns,John Green,3.88,horror
89,The Princess Bride,William Goldman,4.25,mystery
90,The Outsiders,S.E. Hinton,4.06,fairy tale fantasy
91,The Maze Runner,James Dashner,4.02,fiction
92,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Steven D. Levitt, Stephen J. Dubner",3.93,science fiction
93,The Secret Garden,Frances Hodgson Burnett,4.12,autobiographical
94,Cien aÃ±os de soledad,"Gabriel GarcÃ­a MÃ¡rquez, Gregory Rabassa",4.04,dictionary
95,The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",4.06,comic
96,Fifty Shades Freed,E.L. James,3.88,autobiographical
97,Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",3.98,horror
98,Flickan som lekte med elden,"Stieg Larsson, Reg Keeland",4.22,comic 
99,Fifty Shades Darker,E.L. James,3.87,mystery
100,The Poisonwood Bible,Barbara Kingsolver,4.02,fiction
101,Me Talk Pretty One Day,David Sedaris,3.97,comic 
102,Where the Wild Things Are,Maurice Sendak,4.22,genre
103,Le Comte de Monte-Cristo,"Alexandre Dumas, Robin Buss",4.21,fiction
104,The Road,Cormac McCarthy,3.95,comic 
105,Allegiant,Veronica Roth,3.63,crime
106,Bossypants,Tina Fey,3.94,horror
107,A Walk to Remember,Nicholas Sparks,4.15,mystery
108,Confessions of a Shopaholic,Sophie Kinsella,3.61,fairy tale fantasy
109,Les MisÃ©rables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",4.14,fiction
110,A Clash of Kings,George R.R. Martin,4.4,science fiction
111,The Memory Keeper's Daughter,Kim Edwards,3.64,autobiographical
112,Me Before You,Jojo Moyes,4.27,dictionary
113,Catch-22,Joseph Heller,3.98,fiction
114,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",4.06,comic 
115,Middlesex,Jeffrey Eugenides,3.98,crime
116,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",3.89,horror
117,A Wrinkle in Time,Madeleine L'Engle,4.04,mystery
118,The Joy Luck Club,Amy Tan,3.9,fairy tale fantasy
119,The Handmaid's Tale,Margaret Atwood,4.06,fiction
120,The Sisterhood of the Traveling Pants,Ann Brashares,3.75,science fiction
121,Lolita,"Vladimir Nabokov, Craig Raine",3.88,autobiographical
122,Wicked: The Life and Times of the Wicked Witch of the West,"Gregory Maguire, Douglas Smith",3.52,dictionary
123,The Firm,John Grisham,3.99,comic
124,Room,Emma Donoghue,4.03,autobiographical
125,"The Tragicall Historie of Hamlet, Prince of Denmark","William Shakespeare, Richard Andrews, Rex Gibson",4,horror
126,Dune,Frank Herbert,4.19,comic 
127,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.92,mystery
128,Steve Jobs,Walter Isaacson,4.09,fiction
129,One Flew Over the Cuckoo's Nest,Ken Kesey,4.18,comic 
130,The Old Man and the Sea,Ernest Hemingway,3.73,genre
131,The Grapes of Wrath,John Steinbeck,3.92,fiction
132,The Five People You Meet in Heaven,Mitch Albom,3.9,comic 
133,Anne of Green Gables,L.M. Montgomery,4.23,crime
134,City of Glass,Cassandra Clare,4.34,horror
135,A Storm of Swords,George R.R. Martin,4.54,mystery
136,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.79,fairy tale fantasy
137,Outlander,Diana Gabaldon,4.2,fiction
138,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",3.37,science fiction
139,Miss Peregrineâ€™s Home for Peculiar Children,Ransom Riggs,3.89,autobiographical
140,Luftslottet som sprÃ¤ngdes,"Stieg Larsson, Reg Keeland",4.2,dictionary
141,The Martian,Andy Weir,4.39,fiction
142,The Pillars of the Earth,Ken Follett,4.29,comic 
143,ads,Anthony Doerr,4.31,crime
144,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.4,horror
145,Deception Point,Dan Brown,3.67,mystery
146,The Goldfinch,Donna Tartt,3.87,fairy tale fantasy
147,Thirteen Reasons Why,Jay Asher,4.02,fiction
148,Girl with a Pearl Earring,Tracy Chevalier,3.85,science fiction
149,If I Stay,Gayle Forman,3.96,autobiographical
150,The Red Tent,Anita Diamant,4.16,dictionary
151,The Sea of Monsters,Rick Riordan,4.23,comic
152,Dear John,Nicholas Sparks,4.01,autobiographical
153,City of Ashes,Cassandra Clare,4.21,horror
154,The Tragedy of Macbeth,William Shakespeare,3.88,comic 
155,The Two Towers,J.R.R. Tolkien,4.42,mystery
